Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,12112894,11871952,12184698,11804041
Liabilities,,,,
Total Liabilities,9994841,9932370,10345718,10079374
Stockholders' Equity,,,,
Common Stock,96215,96104,96019,95910
Retained Earnings,2200568,2064134,1891805,1777963
Accumulated other comprehensive income,2345,-54634,-28397,-26697
Total stockholders' equity,2118053,1939582,1838980,1724667
Total liabilities and stockholders' equity,12112894,11871952,12184698,11804041
