Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-11956,-37297,-9791,-10127,-7462
Sales/Maturities of investments,-,150,-,-,-
Net cash used for investing activites,-11580,-37133,-9500,-10117,-7390
Common stock issued,70358,70737,1549,22667,1158
Common stock repurchased,-301,-197,-,-,-
Other financing activites,-,-,-,-,-112
Net cash used privided by (used for) financing activities,70257,70540,1549,22667,1046
Net change in cash,60651,58306,-10683,16222,-5059
Cash at beginning of period,20642,17530,28338,12189,17169
Cash at end of period,81293,75914,17530,28338,12189
Capital Expenditure,-11956,-37297,-9791,-10127,-7462
Free Cash Flow,-9982,-12398,-12523,-6455,-6177
