Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2254216,1651814,1468570,1335754
Depreciation & amortization,-,69489,51147,40253
Stock based compensation,-,33918,13287,13078
Change in working capital,-,138722,78637,-96338
Other working capital,-,1389617,1263341,1223779
Other non-cash items,-,-137664,-51046,-41655
Net cash provided by operating activites,-,1881530,1841522,1308699
Investments in property plant and equipment,-,-491913,-578181,-84920
Purchases of investments,-,-1200000,-406280,-
Sales/Maturities of investments,-,500000,300000,400000
Other investing activites,-,-1002972,930,993852
Net cash used for investing activites,-,-2194885,-683531,1308932
Net change in cash,-,18768,1825434,2223263
Cash at beginning of period,-,6041215,4215781,1992517
Cash at end of period,-,6059984,6041215,4215781
Operating Cash Flow,-,1881530,1841522,1308699
Capital Expenditure,-,-491913,-578181,-84920
Free Cash Flow,-,1389617,1263341,1223779
