Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,700000,700000,616000,615000,676000
Depreciation & amortization,317000,317000,305000,308000,309000
Change in working capital,750000,750000,-281000,-1429000,-735000
Inventory,-448000,-448000,-105000,-73000,276000
Other working capital,1373000,1373000,763000,-694000,45000
Other non-cash items,22000,22000,198000,-243000,-15000
Net cash provided by operating activites,1718000,1718000,838000,-592000,163000
Investments in property plant and equipment,-345000,-345000,-75000,-102000,-118000
Purchases of investments,-134000,-134000,-133000,-281000,-232000
Sales/Maturities of investments,167000,167000,121000,-,328000
Other investing activites,-36000,-36000,2000,-17000,-31000
Net cash used for investing activites,-348000,-348000,-45000,-400000,-53000
Net change in cash,40000,40000,290000,-333000,-31000
Cash at beginning of period,1517000,1517000,1226000,1560000,1592000
Cash at end of period,1558000,1558000,1517000,1226000,1560000
Operating Cash Flow,1718000,1718000,838000,-592000,163000
Capital Expenditure,-345000,-345000,-75000,-102000,-118000
Free Cash Flow,1373000,1373000,763000,-694000,45000
