Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,136253,129332,120011,105946,94676
Interest Expense,35112,30383,16072,8245,6040
Income Before Tax,36474,33937,34971,17039,16357
Income Tax Expense,7164,6791,26736,5192,4901
Income from Continuing Operations,29310,27146,8235,11847,11456
Net Income,29310,27146,8235,11847,11456
Net Income available to common shareholders,29093,26957,8175,11722,11456
Basic EPS,-,1.52,0.45,0.66,0.65
Diluted EPS,-,1.46,0.44,0.65,0.65
Basic Average Shares,-,17692,18029,17379,17417
Diluted Average Shares,-,18393,18726,17956,17607
