Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-4086,-3509,-702.132
Other investing activites,710.755,9.5,-49.119
Net cash used for investing activites,-3047,-3144,-600.277
Debt repayment,-109.858,-103.204,-126.27
Common stock issued,-,-,10000
Common stock repurchased,-,-,-628.647
Net cash used privided by (used for) financing activities,2557,-73.246,9231
Net change in cash,-2072,-4844,4426
Cash at beginning of period,6107,7416,2990
Cash at end of period,4034,2572,7416
Capital Expenditure,-4086,-3509,-702.132
Free Cash Flow,-5668,-5135,-4907
