Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,29111,29111,29058,25468,24234
Interest Expense,5554,5554,4383,3190,2918
Income Before Tax,8641,8641,10250,6767,5998
Income Tax Expense,1359,1359,1415,2417,1127
Income from Continuing Operations,7282,7282,8835,4350,4871
Net Income,7282,7282,8835,4350,4871
Net Income available to common shareholders,7282,7282,8835,4350,4871
Basic EPS,-,-,2.04,0.99,1.11
Diluted EPS,-,-,2.04,0.99,1.11
Basic Average Shares,-,-,4331,4420,4420
Diluted Average Shares,-,-,4331,4420,4420
