Breakdown,1/31/2019,1/31/2018,1/31/2017
Total Assets,160048,181842,242977
Liabilities,,,
Total Liabilities,1763,3271,1374
Stockholders' Equity,,,
Common Stock,10642,10642,10642
Total stockholders' equity,158285,178571,241603
Total liabilities and stockholders' equity,160048,181842,242977
