Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,3180000,2982700,2817500,2362700
Liabilities,,,,
Total Liabilities,2537900,2331700,2204600,1809100
Stockholders' Equity,,,,
Common Stock,13200,13200,13100,13100
Retained Earnings,1210000,1226200,1180700,1119000
Total stockholders' equity,642100,651000,612900,553600
Total liabilities and stockholders' equity,3180000,2982700,2817500,2362700
