Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-1941,-1877,-1504,-1614
Acquisitions net,-,-1026,-,-,-
Other investing activites,-,-,0.05,-,-
Net cash used for investing activites,-1511,-2966,-1877,-1504,-1614
Debt repayment,-,-,-100,-365,-
Common stock issued,-,1735,-,1100,4002
Common stock repurchased,-,-,-,-159.621,-307.755
Other financing activites,-82.476,-118.22,-86.866,-,-
Net cash used privided by (used for) financing activities,2218,3467,1513,1990,3695
Net change in cash,-272.815,8.835,-183.674,-1932,-2742
Cash at beginning of period,470.741,217.147,385.497,2318,4997
Cash at end of period,197.926,205.903,217.147,385.497,2318
Capital Expenditure,-,-1941,-1877,-1504,-1614
Free Cash Flow,-3447,-2433,-1697,-3923,-6437
