Breakdown,ttm,12/31/2019
Investments in property plant and equipment,-2295,-2295
Net cash used for investing activites,-2295,-2295
Debt repayment,-,101.0534
Common stock issued,36457,36457
Common stock repurchased,-2452,-2452
Other financing activites,-300.2198,-300.2198
Net cash used privided by (used for) financing activities,33806,33806
Net change in cash,13909,13909
Cash at beginning of period,10293,10293
Cash at end of period,24137,24137
Capital Expenditure,-2295,-2295
Free Cash Flow,-19897,-19897
