Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,90633,90633,84989,78644,74628
Interest Expense,17868,17868,13322,8698,7251
Income Before Tax,28891,28891,28311,26637,24591
Income Tax Expense,3155,3155,3391,8180,5008
Income from Continuing Operations,25736,25736,24920,18457,19583
Net Income,25736,25736,24920,18457,19583
Net Income available to common shareholders,25736,25736,24920,18457,19583
Basic EPS,-,-,3.37,2.50,2.65
Diluted EPS,-,-,3.37,2.50,2.65
Basic Average Shares,-,-,7398,7396,7397
Diluted Average Shares,-,-,7398,7396,7397
