Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,330771,318394,308485,291871
Liabilities,,,,
Total Liabilities,264493,251191,241339,224356
Stockholders' Equity,,,,
Common Stock,86,86,86,86
Retained Earnings,33867,34050,34180,34732
Accumulated other comprehensive income,4,-,1,31
Total stockholders' equity,66278,67203,67146,67515
Total liabilities and stockholders' equity,330771,318394,308485,291871
