Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6877000,7294000,3195000,5967000
Depreciation & amortization,-,3955000,3387000,2947000
Change in working capital,-,-598000,-1746000,1369000
Inventory,-,-2030000,-2431000,483000
Other working capital,-,8359000,1627000,675000
Other non-cash items,-,37000,9000,194000
Net cash provided by operating activites,-,11473000,5990000,7979000
Investments in property plant and equipment,-,-3114000,-4363000,-7304000
Acquisitions net,-,-1202000,-8135000,-3247000
Purchases of investments,-,-435000,-519000,-104000
Sales/Maturities of investments,-,78000,-,893000
Other investing activites,-,11000,105000,325000
Net cash used for investing activites,-,-4450000,-12782000,-9435000
Net change in cash,-,4242000,-2482000,338000
Cash at beginning of period,-,18377000,20860000,20522000
Cash at end of period,-,22620000,18377000,20860000
Operating Cash Flow,-,11473000,5990000,7979000
Capital Expenditure,-,-3114000,-4363000,-7304000
Free Cash Flow,-,8359000,1627000,675000
