Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-8059,-86153,104250,199604
Depreciation & amortization,-,163830,87330,90397
Change in working capital,-,-348013,-701256,3154443
Inventory,-,-503732,-730912,-307261
Other working capital,-,-776311,-884448,-496061
Other non-cash items,-,-9,65155,-59104
Net cash provided by operating activites,-,-292531,-203600,-67266
Investments in property plant and equipment,-,-483780,-680848,-428795
Purchases of investments,-,-1040,-170897,-879
Other investing activites,-,10519,4500,145025
Net cash used for investing activites,-,-474301,-743948,-212271
Net change in cash,-,-259131,45501,113371
Cash at beginning of period,-,488812,443311,329939
Cash at end of period,-,229680,488812,443311
Operating Cash Flow,-,-292531,-203600,-67266
Capital Expenditure,-,-483780,-680848,-428795
Free Cash Flow,-,-776311,-884448,-496061
