Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,140060,125320,128153,143705
Liabilities,,,,
Total Liabilities,73278,46924,46371,56583
Stockholders' Equity,,,,
Common Stock,6.588,6.554,6.52,6.313
Retained Earnings,-17378,-11925,1920,3541
Accumulated other comprehensive income,-,-11925,-12464,-6536
Total stockholders' equity,66781,78396,81781,87122
Total liabilities and stockholders' equity,140060,125320,128153,143705
