Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,461823,-2269766,96994,310217
Depreciation & amortization,-,169262,58832,66820
Change in working capital,-,1152617,37274,-17574
Inventory,-,-4853,-10762,35883
Other working capital,-,1237287,216480,243984
Other non-cash items,-,-59417,-8340,-25479
Net cash provided by operating activites,-,1442110,244648,352845
Investments in property plant and equipment,-,-204823,-28168,-108861
Purchases of investments,-,-100000,-161479,-106350
Sales/Maturities of investments,-,31267,271692,441288
Other investing activites,-,-97166,5440,-43635
Net cash used for investing activites,-,2569559,144214,211224
Net change in cash,-,3952629,232698,420890
Cash at beginning of period,-,1405348,1172650,751759
Cash at end of period,-,5357977,1405348,1172650
Operating Cash Flow,-,1442110,244648,352845
Capital Expenditure,-,-204823,-28168,-108861
Free Cash Flow,-,1237287,216480,243984
