Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2700000,351000,3198000,1152000
Depreciation & amortization,-,10116000,10474000,10454000
Change in working capital,-,12128000,231000,7060000
Inventory,-,-1469000,-1935000,3432000
Other working capital,-,8843000,4987000,13719000
Other non-cash items,-,274000,4477000,2943000
Net cash provided by operating activites,-,19066000,12809000,19839000
Investments in property plant and equipment,-,-10223000,-7822000,-6120000
Acquisitions net,-,-,0,-355000
Purchases of investments,-,-22000,-25000,-142000
Sales/Maturities of investments,-,2633000,1136000,269000
Other investing activites,-,-358000,-276000,-255000
Net cash used for investing activites,-,-8979000,-5994000,-7070000
Net change in cash,-,1873000,-1096000,-540000
Cash at beginning of period,-,9744000,10840000,11381000
Cash at end of period,-,11617000,9744000,10840000
Operating Cash Flow,-,19066000,12809000,19839000
Capital Expenditure,-,-10223000,-7822000,-6120000
Free Cash Flow,-,8843000,4987000,13719000
