Breakdown,ttm,3/31/2019,2/28/2017
Net Income,-74273,19968,-1204522
Depreciation & amortization,-,16463,11149
Change in working capital,-,143004,316126
Inventory,-,230111,284227
Other working capital,-,82368,-642415
Other non-cash items,-,53618,-9565
Net cash provided by operating activites,-,229699,-557046
Investments in property plant and equipment,-,-147331,-85369
Acquisitions net,-,-,-82276
Purchases of investments,-,-,-100350
Sales/Maturities of investments,-,-,21300
Other investing activites,-,827258,71304
Net cash used for investing activites,-,679927,-175391
Net change in cash,-,863987,-95736
Cash at beginning of period,-,538365,1336416
Cash at end of period,-,1402352,1240679
Operating Cash Flow,-,229699,-557046
Capital Expenditure,-,-147331,-85369
Free Cash Flow,-,82368,-642415
