Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,813936,1014614,879419
Liabilities,,,
Total Liabilities,300.399,221.741,232.624
Stockholders' Equity,,,
Total stockholders' equity,813636,1014393,879186
Total liabilities and stockholders' equity,813936,1014614,879419
