Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1559,-1255,-1383,-827.956,-365.444
Sales/Maturities of investments,-,5.5,49.45,39.313,90.855
Net cash used for investing activites,-1810,-1250,-1334,-788.643,-274.589
Common stock issued,1153,2200,2250,2020,-
Common stock repurchased,-42.268,-8.678,-25.009,-75.29,-
Net cash used privided by (used for) financing activities,1110,2191,2225,1945,-
Net change in cash,-1144,107.787,-136.092,708.488,-269.136
Cash at beginning of period,2324,1342,1478,769.86,1039
Cash at end of period,1180,1450,1342,1478,769.86
Capital Expenditure,-1559,-1255,-1383,-827.956,-365.444
Free Cash Flow,-2004,-2089,-2411,-1276,-359.991
