Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,715604,721312,668351
Liabilities,,,
Total Liabilities,216189,233957,226426
Stockholders' Equity,,,
Common Stock,0,0,0
Retained Earnings,342252,330157,284476
Total stockholders' equity,499415,487355,441925
Total liabilities and stockholders' equity,715604,721312,668351
