Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,175497,187085,174618
Liabilities,,,
Total Liabilities,2008,451,425
Stockholders' Equity,,,
Common Stock,0,0,0
Total stockholders' equity,173489,186634,174193
Total liabilities and stockholders' equity,175497,187085,174618
