Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Investments in property plant and equipment,-,-,-,-159.055
Net cash used for investing activites,-,-,-,-159.055
Common stock issued,225,465,200,1000
Common stock repurchased,-,-,-,-20.566
Other financing activites,-,40,-,-
Net cash used privided by (used for) financing activities,265,505,200,979.434
Net change in cash,-179.037,67.794,-338.455,320.563
Cash at beginning of period,198.078,96.899,435.354,114.791
Cash at end of period,19.041,164.693,96.899,435.354
Capital Expenditure,-,-,-,-159.055
Free Cash Flow,-444.037,-437.206,-538.455,-658.871
