Breakdown,ttm,3/31/2019,3/31/2018,12/31/2016
Net Income,-518385,-253570,-1658647,-958576
Depreciation & amortization,-,95267,82199,44330
Stock based compensation,-,30679,121390,201480
Change in working capital,-,-844664,-182384,-676138
Inventory,-,96,134,-
Other working capital,-,-1435527,-1907999,-2067581
Other non-cash items,-,-232064,183873,-533946
Net cash provided by operating activites,-,-1376845,-1762071,-2010499
Investments in property plant and equipment,-,-58682,-145928,-57082
Acquisitions net,-,-75455,-231722,-2871843
Purchases of investments,-,-655342,-,-1916700
Sales/Maturities of investments,-,527955,1343131,50214
Other investing activites,-,1890882,-2862891,7387636
Net cash used for investing activites,-,1089984,-1283295,2741680
Net change in cash,-,1478444,-4296377,2417672
Cash at beginning of period,-,1685719,6220966,3677988
Cash at end of period,-,3341470,1685719,6220966
Operating Cash Flow,-,-1376845,-1762071,-2010499
Capital Expenditure,-,-58682,-145928,-57082
Free Cash Flow,-,-1435527,-1907999,-2067581
