Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,5619555,5568526,5513046,5366083
Liabilities,,,,
Total Liabilities,4888138,4952935,4922807,4804716
Stockholders' Equity,,,,
Common Stock,465460,448351,431734,404606
Retained Earnings,239135,205841,173804,165302
Accumulated other comprehensive income,26051,-39996,-16832,-10074
Total stockholders' equity,731417,615591,590239,561367
Total liabilities and stockholders' equity,5619555,5568526,5513046,5366083
