Breakdown,ttm,12/31/2019
Investments in property plant and equipment,-216.9212,-216.9212
Other investing activites,-12.7748,-12.7748
Net cash used for investing activites,-229.696,-229.696
Common stock issued,38715,38715
Other financing activites,-287.2338,-287.2338
Net cash used privided by (used for) financing activities,40568,40568
Net change in cash,16216,16216
Cash at beginning of period,441.8927,441.8927
Cash at end of period,16657,16657
Capital Expenditure,-216.9212,-216.9212
Free Cash Flow,-24339,-24339
