Breakdown,5/31/2019,5/31/2018,6/30/2016
Total Assets,1595629,1440920,1191052
Liabilities,,,
Total Liabilities,97041,134156,3938
Stockholders' Equity,,,
Common Stock,36240,36257,22456
Total stockholders' equity,1498588,1306764,1187114
Total liabilities and stockholders' equity,1595629,1440920,1191052
