Breakdown,ttm,12/31/2019,2/28/2018,2/28/2017
Net Income,4053712,4053712,5780590,3181360
Depreciation & amortization,2418826,2418826,2198452,2167001
Change in working capital,-1353559,-1353559,395639,455555
Inventory,-2396104,-2396104,-652736,945753
Other working capital,1549322,1549322,5446698,4354866
Other non-cash items,705523,705523,557202,-21913
Net cash provided by operating activites,5124421,5124421,8923325,5338635
Investments in property plant and equipment,-3575099,-3575099,-3476627,-983769
Purchases of investments,-862838,-862838,-2968281,-471865
Sales/Maturities of investments,712443,712443,1458298,2819044
Other investing activites,-308731,-308731,-81691,-562246
Net cash used for investing activites,-3150128,-3150128,-5012718,813076
Net change in cash,-1045850,-1045850,1479434,5608050
Cash at beginning of period,20852878,20852878,20477977,14869927
Cash at end of period,19807028,19807028,21957411,20477977
Operating Cash Flow,5124421,5124421,8923325,5338635
Capital Expenditure,-3575099,-3575099,-3476627,-983769
Free Cash Flow,1549322,1549322,5446698,4354866
