Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,3880971,3636636,3350413,1860228
Depreciation & amortization,1395424,1174901,993487,909398
Change in working capital,178735,-3868756,-692516,-6845
Inventory,245669,-2943357,-403842,405765
Other working capital,4316043,-242740,2907563,2959150
Other non-cash items,1218196,1179680,1050337,986777
Net cash provided by operating activites,6958076,2317963,5234501,4512641
Investments in property plant and equipment,-2642033,-2560703,-2326938,-1553491
Acquisitions net,-,-1778039,-2694162,-1241747
Purchases of investments,-,-,-,-1970
Sales/Maturities of investments,-,-,17750,0
Other investing activites,445035,-498312,-467918,-423653
Net cash used for investing activites,-3448080,-4233055,-4837794,-2779768
Net change in cash,-8780,1087573,887574,-315419
Cash at beginning of period,6194984,5027202,4157264,4464517
Cash at end of period,6186204,6142664,5027202,4157264
Operating Cash Flow,6958076,2317963,5234501,4512641
Capital Expenditure,-2642033,-2560703,-2326938,-1553491
Free Cash Flow,4316043,-242740,2907563,2959150
