Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-370775,-255219,-228818,-115890
Acquisitions net,-,-104673,-,-
Purchases of investments,-961276,-66941,-72046,-498721
Sales/Maturities of investments,4422,5650,230509,-
Other investing activites,8677,-2586,9111,-8950
Net cash used for investing activites,-1130894,-411415,114503,-615708
Debt repayment,-633162,-326757,-571200,-593790
Common stock issued,-,94714,-,456.621
Common stock repurchased,-,-,-18974,-7032
Dividends Paid,-229223,-203792,-153297,-147489
Other financing activites,-28190,-16951,-4884,-15251
Net cash used privided by (used for) financing activities,1073743,210783,-293819,-69315
Net change in cash,140436,64547,98535,-461279
Cash at beginning of period,200806,364394,252489,708219
Cash at end of period,341241,396763,357411,245479
Capital Expenditure,-370775,-255219,-228818,-115890
Free Cash Flow,-173188,9960,49033,107854
