Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2907000,3234000,6058000,4286000
Depreciation & amortization,-,3801000,3696000,2586000
Change in working capital,-,2163000,-970000,3497000
Inventory,-,-421000,-1235000,907000
Other working capital,-,5761000,5796000,-7787000
Other non-cash items,-,-413000,1706000,-2232000
Net cash provided by operating activites,-,8946000,9665000,7246000
Investments in property plant and equipment,-,-3185000,-3869000,-15033000
Purchases of investments,-,-6904000,-9015000,-7339000
Sales/Maturities of investments,-,7024000,8965000,13229000
Other investing activites,-,-131000,117000,-756000
Net cash used for investing activites,-,-3195000,-3799000,-9896000
Net change in cash,-,4108000,4430000,915000
Cash at beginning of period,-,23120000,18690000,17774000
Cash at end of period,-,27229000,23120000,18690000
Operating Cash Flow,-,8946000,9665000,7246000
Capital Expenditure,-,-3185000,-3869000,-15033000
Free Cash Flow,-,5761000,5796000,-7787000
