Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-452000,-373000,571839,537740
Depreciation & amortization,-,917000,851204,812965
Change in working capital,-,592000,276790,-27405
Inventory,-,-101000,4330,102128
Other working capital,-,740000,810825,918702
Other non-cash items,-,100000,268593,59463
Net cash provided by operating activites,-,2010000,1842157,1322842
Investments in property plant and equipment,-,-1270000,-1031332,-404140
Purchases of investments,-,-26000,-107839,-116476
Sales/Maturities of investments,-,236000,102901,447837
Other investing activites,-,-48000,-37119,93297
Net cash used for investing activites,-,-1108000,-818941,-486041
Net change in cash,-,785000,365763,34467
Cash at beginning of period,-,4555000,4189901,4155434
Cash at end of period,-,5341000,4555665,4189901
Operating Cash Flow,-,2010000,1842157,1322842
Capital Expenditure,-,-1270000,-1031332,-404140
Free Cash Flow,-,740000,810825,918702
