Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1080628,573295,-1112496,273636
Depreciation & amortization,-,271855,266973,227755
Change in working capital,-,98639,1663,316391
Inventory,-,-381739,182640,104414
Other working capital,-,927993,-77866,502429
Other non-cash items,-,6742,-83080,35474
Net cash provided by operating activites,-,1148814,248349,871630
Investments in property plant and equipment,-,-220821,-326215,-369201
Purchases of investments,-,-116054,-982,-
Sales/Maturities of investments,-,378701,3178,-
Other investing activites,-,-16879,-11129,1289944
Net cash used for investing activites,-,72622,-335148,883360
Net change in cash,-,968005,-532785,285017
Cash at beginning of period,-,6664843,7197629,6912611
Cash at end of period,-,7632849,6664843,7197629
Operating Cash Flow,-,1148814,248349,871630
Capital Expenditure,-,-220821,-326215,-369201
Free Cash Flow,-,927993,-77866,502429
