Breakdown,ttm,3/31/2019
Investments in property plant and equipment,-1111,-691.045
Acquisitions net,-,1106
Net cash used for investing activites,-159.184,415.017
Debt repayment,401.28,-770.809
Common stock issued,-,8500
Common stock repurchased,-,-946.561
Dividends Paid,-,-1003
Other financing activites,-,2777
Net cash used privided by (used for) financing activities,964.373,5780
Net change in cash,-220.12,6182
Cash at beginning of period,4687,0.001
Cash at end of period,4467,6347
Capital Expenditure,-1111,-691.045
Free Cash Flow,-2136,-703.284
