Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-131.213,-633.709,-95.166,-69.934
Purchases of investments,-,-,-,-653.877
Other investing activites,-,-,-,0
Net cash used for investing activites,-183.118,-633.709,-95.166,-723.811
Common stock issued,5228,5228,4598,1231
Common stock repurchased,-330.682,-331.724,-335.122,-73.334
Other financing activites,-,-,-,0
Net cash used privided by (used for) financing activities,4897,4896,4262,1158
Net change in cash,3117,1777,1971,-358.526
Cash at beginning of period,3564,2691,720.399,1081
Cash at end of period,6680,4467,2691,720.399
Capital Expenditure,-131.213,-633.709,-95.166,-69.934
Free Cash Flow,-1728,-3119,-2292,-862.741
