Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,8340971,7817100,8443384,6095763
Liabilities,,,,
Total Liabilities,7865480,7371484,7991728,5702202
Stockholders' Equity,,,,
Common Stock,43767,43767,43766,43766
Retained Earnings,281053,232638,238341,188598
Total stockholders' equity,475491,445616,451656,393561
Total liabilities and stockholders' equity,8340971,7817100,8443384,6095763
