Breakdown,ttm,6/30/2019,6/30/2018,6/30/2016
Total Revenue,61478,16311,51910,-
Income Before Tax,54228,9350,47019,-
Income Tax Expense,15062,1642,12997,-
Income from Continuing Operations,39166,7708,34022,-
Net Income,39166,7708,34022,-
Net Income available to common shareholders,39166,7708,34022,-
Basic EPS,-,0.01,0.10,0.00
Diluted EPS,-,0.01,0.10,0.00
Basic Average Shares,-,507259,331291,284833
Diluted Average Shares,-,507259,354396,284833
