Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-8573,-9254,-1106,-123.98,-551.767
Purchases of investments,-,-,-4831,-8024,-10907
Sales/Maturities of investments,-,5416,3000,10907,-
Other investing activites,-,-,-,-,635
Net cash used for investing activites,-3815,-3837,-2937,2774,14753
Debt repayment,-,-,-,-,-17.039
Common stock repurchased,-,-132.214,-330.02,-9962,-2467
Net cash used privided by (used for) financing activities,-,-132.214,-330.02,-9962,-2496
Net change in cash,-5241,-4975,-3420,-7545,10087
Cash at beginning of period,5678,6778,10197,17742,7655
Cash at end of period,437.094,1803,6778,10197,17742
Capital Expenditure,-8573,-9254,-1106,-123.98,-551.767
Free Cash Flow,-9998,-10259,-1258,-481.314,-2723
