Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1375000,1136000,838000,668000
Depreciation & amortization,-,191000,161000,157000
Change in working capital,-,426000,-805000,-1240000
Inventory,-,138000,270000,283000
Other working capital,-,754000,-653000,-613000
Other non-cash items,-,58000,34000,34000
Net cash provided by operating activites,-,1532000,80000,-258000
Investments in property plant and equipment,-,-778000,-733000,-355000
Sales/Maturities of investments,-,240000,-,-
Other investing activites,-,16000,-92000,121000
Net cash used for investing activites,-,361000,-825000,-234000
Net change in cash,-,582000,178000,-654000
Cash at beginning of period,-,410000,232000,886000
Cash at end of period,-,993000,410000,232000
Operating Cash Flow,-,1532000,80000,-258000
Capital Expenditure,-,-778000,-733000,-355000
Free Cash Flow,-,754000,-653000,-613000
