Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-162010,-272563,-1740188,-665966
Depreciation & amortization,-,3387,183780,532635
Change in working capital,-,-51942,332007,380260
Other working capital,-,-397258,-871100,-216409
Other non-cash items,-,14621,18978,-100305
Net cash provided by operating activites,-,-368415,-591009,67021
Investments in property plant and equipment,-,-28843,-280091,-283430
Acquisitions net,-,-,0,-
Purchases of investments,-,-,-5400,-741064
Sales/Maturities of investments,-,62134,12480,46122
Other investing activites,-,32071,27857,-85193
Net cash used for investing activites,-,117147,164261,-1063565
Net change in cash,-,103029,-730775,-266087
Cash at beginning of period,-,101968,832744,1079778
Cash at end of period,-,204998,101968,832744
Operating Cash Flow,-,-368415,-591009,67021
Capital Expenditure,-,-28843,-280091,-283430
Free Cash Flow,-,-397258,-871100,-216409
