Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Purchases of investments,-158729,-100437,-138365,-95806
Other investing activites,383,383,-,-8200
Net cash used for investing activites,-158679,-100054,-138365,-104006
Debt repayment,-105000,-105000,-50000,-10000
Common stock issued,107805,107805,-,80614
Dividends Paid,-96140,-93252,-98630,-84339
Net cash used privided by (used for) financing activities,38228,-1507,14802,-3725
Net change in cash,-12006,15175,-31301,-10491
Cash at beginning of period,33803,12330,43631,54122
Cash at end of period,21797,27505,12330,43631
Free Cash Flow,108445,116736,92262,97240
