Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,141100,141100,135700,131000,117200
Depreciation & amortization,262800,262800,180800,177200,156800
Stock based compensation,6400,6400,6400,5300,4100
Change in working capital,-58100,-58100,-22500,-13500,-14400
Inventory,-2600,-2600,-1400,-500,1100
Other working capital,211700,211700,140400,159000,180000
Other non-cash items,54400,54400,38100,37000,49500
Net cash provided by operating activites,356200,356200,306800,295500,316600
Investments in property plant and equipment,-144500,-144500,-166400,-136500,-136600
Acquisitions net,-123100,-123100,-145900,-97200,-83500
Purchases of investments,-11000,-11000,-,-,-
Other investing activites,-11000,-11000,-,-,-
Net cash used for investing activites,-251000,-251000,-252300,-173000,-197700
Net change in cash,365100,365100,-198500,-8900,257800
Cash at beginning of period,117700,117700,314300,324400,60400
Cash at end of period,478300,478300,117700,314300,324400
Operating Cash Flow,356200,356200,306800,295500,316600
Capital Expenditure,-144500,-144500,-166400,-136500,-136600
Free Cash Flow,211700,211700,140400,159000,180000
