Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-7980,-7980,-20626,-17355,-18777
Acquisitions net,-,-,-,-878,-266286
Purchases of investments,-500,-500,-,-,-
Other investing activites,-1121,-1121,-5982,-3575,-12400
Net cash used for investing activites,-9601,-9601,539254,-21783,-258310
Debt repayment,-,-,-230792,-110416,-708310
Common stock issued,-,-,-,-,442704
Common stock repurchased,-11407,-11407,-39209,-1779,-
Dividends Paid,-22776,-22776,-244039,-17978,-
Other financing activites,-18205,-18205,-5540,-5514,89718
Net cash used privided by (used for) financing activities,-52650,-52650,-424658,-54181,220666
Net change in cash,-17417,-17417,109390,-810,-1745
Cash at beginning of period,128355,128355,18773,20223,21721
Cash at end of period,110972,110972,128355,18773,20223
Capital Expenditure,-7980,-7980,-20626,-17355,-18777
Free Cash Flow,36854,36854,-25832,57799,17122
