Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,47199,47199,43143,41062,43195
Interest Expense,12,12,12,12,12
Income Before Tax,46419,46419,42390,40364,42534
Income Tax Expense,893,893,725,698,722
Income from Continuing Operations,45526,45526,41665,39666,41812
Net Income,45526,45526,41665,39666,41812
Net Income available to common shareholders,45514,45514,41653,39654,41800
Basic EPS,-,1.72,1.57,1.50,1.58
Diluted EPS,-,1.72,1.57,1.50,1.58
Basic Average Shares,-,26475,26475,26475,26475
Diluted Average Shares,-,26475,26475,26475,26475
