Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,15290314,15290314,16210434,14005078,12123163
Depreciation & amortization,4557414,4557414,4091929,3725775,3294081
Change in working capital,-338172,-338172,353682,-239831,-1863818
Other working capital,-52524188,-52524188,27915197,-18096753,-51089202
Other non-cash items,1476122,1476122,1133617,1224616,1093746
Net cash provided by operating activites,20000722,20000722,30938494,17763484,13689262
Investments in property plant and equipment,-72524910,-72524910,-3023297,-35860237,-64778464
Purchases of investments,-228114,-228114,-115020,-35130,-43325
Sales/Maturities of investments,329120,329120,59743,70297,1756161
Other investing activites,-40950,-40950,-32232,-258888,-1009712
Net cash used for investing activites,-72464854,-72464854,-3110806,-36083958,-64075340
Net change in cash,-2840785,-2840785,9264365,1546484,12675569
Cash at beginning of period,37184716,37184716,27920350,26373866,13698296
Cash at end of period,34343930,34343930,37184716,27920350,26373866
Operating Cash Flow,20000722,20000722,30938494,17763484,13689262
Capital Expenditure,-72524910,-72524910,-3023297,-35860237,-64778464
Free Cash Flow,-52524188,-52524188,27915197,-18096753,-51089202
