Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-7590,-11954,-5599,-3204,-2251
Purchases of investments,-,-,-,-1,-1
Net cash used for investing activites,-7590,-11954,-5599,-3184,-2252
Debt repayment,-,-,-16557,-,-
Common stock issued,-,33,36677,-,3260
Common stock repurchased,-,-,-1831,-,-213
Net cash used privided by (used for) financing activities,-,8033,18289,-,7836
Net change in cash,-1295,-5674,10786,-4761,4817
Cash at beginning of period,3660,12654,1868,6629,1812
Cash at end of period,2365,6980,12654,1868,6629
Capital Expenditure,-7590,-11954,-5599,-3204,-2251
Free Cash Flow,-9328,-13707,-7503,-4781,-3018
