Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,46051,45965,42014,36346,31789
Interest Expense,1685,1747,1236,1017,1023
Income Before Tax,20673,21380,19126,15505,12233
Income Tax Expense,5663,5868,5134,7316,4759
Income from Continuing Operations,15010,15512,13992,8189,7474
Net Income,15010,15512,13992,8189,7474
Net Income available to common shareholders,15010,15512,13992,8189,7474
Basic EPS,-,-,2.74,1.64,1.54
Diluted EPS,-,-,2.68,1.58,1.47
Basic Average Shares,-,-,5108,5060,4864
Diluted Average Shares,-,-,5219,5200,5098
