Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,942112,190903,304942,170482
Depreciation & amortization,-,71995,70177,12112
Change in working capital,-,1261484,-4550401,-623151
Inventory,-,184287,-,-
Other working capital,-,2119558,-6082071,-2429868
Other non-cash items,-,861143,-612341,-1681963
Net cash provided by operating activites,-,2155250,-4803973,-2424034
Investments in property plant and equipment,-,-35692,-1278098,-5834
Purchases of investments,-,-80004,-,-
Sales/Maturities of investments,-,82000,-,-
Other investing activites,-,-773,36722,6430
Net cash used for investing activites,-,-34469,-1230676,260620
Net change in cash,-,313025,-602582,116811
Cash at beginning of period,-,953271,1555853,1439041
Cash at end of period,-,1266296,953271,1555853
Operating Cash Flow,-,2155250,-4803973,-2424034
Capital Expenditure,-,-35692,-1278098,-5834
Free Cash Flow,-,2119558,-6082071,-2429868
