Breakdown,6/30/2019,6/30/2018
Total Assets,2607257,2607143
Liabilities,,
Total Liabilities,1427760,1378257
Stockholders' Equity,,
Common Stock,1304338,1304325
Retained Earnings,-124841,-75439
Total stockholders' equity,1179497,1228886
Total liabilities and stockholders' equity,2607257,2607143
