Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-528,-489,-874,-28,-841
Acquisitions net,-,-,-,-526,-700
Purchases of investments,-3217,-2581,-4558,-1107,-2369
Sales/Maturities of investments,1399,1902,1536,2767,5359
Net cash used for investing activites,-2366,-1154,-3214,1255,1458
Debt repayment,-,-1180,-1576,-902,-
Net cash used privided by (used for) financing activities,-2551,-1180,-1576,-902,2289
Net change in cash,-208,-1097,4960,116,-711
Cash at beginning of period,5868,5424,464,348,1059
Cash at end of period,5660,4327,5424,464,348
Capital Expenditure,-528,-489,-874,-28,-841
Free Cash Flow,4181,748,8876,-265,-5299
