Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,1809628,1809628,1470842
Cost of Revenue,758307,758307,558356
Gross Profit,1051321,1051321,912486
Total Operating Expenses,985869,985869,750930
Operating Income or Loss,65452,65452,161556
Interest Expense,2226,2226,1931
Income Before Tax,50888,50888,106923
Income Tax Expense,16128,16128,33205
Income from Continuing Operations,34760,34760,73718
Net Income,35604,35604,73717
Net Income available to common shareholders,35604,35604,73717
Basic EPS,-,-,57.28
Diluted EPS,-,-,57.28
Basic Average Shares,-,-,1287
Diluted Average Shares,-,-,1287
