Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3167000,3785000,4281000,4627000
Depreciation & amortization,-,2582000,2663000,2383000
Change in working capital,-,-39424000,-50833000,-26782000
Other working capital,-,-36936000,-90915000,-34798000
Other non-cash items,-,-31606000,-75286000,-38263000
Net cash provided by operating activites,-,-35357000,-87872000,-29718000
Investments in property plant and equipment,-,-1579000,-3043000,-5080000
Acquisitions net,-,-1175000,-,-
Purchases of investments,-,-441930000,-335522000,-369977000
Sales/Maturities of investments,-,470093000,514341000,419571000
Other investing activites,-,-1000,41000,1000
Net cash used for investing activites,-,25607000,176006000,44599000
Net change in cash,-,-11011000,81854000,13292000
Cash at beginning of period,-,154143000,72289000,58997000
Cash at end of period,-,143132000,154143000,72289000
Operating Cash Flow,-,-35357000,-87872000,-29718000
Capital Expenditure,-,-1579000,-3043000,-5080000
Free Cash Flow,-,-36936000,-90915000,-34798000
