Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,617545,581408,3192993,4799027
Depreciation & amortization,-,3295217,3264869,2500581
Change in working capital,-,264353,141916,-454469
Inventory,-,-130664,-,-
Other working capital,-,1182840,3149408,2371159
Other non-cash items,-,-408621,25872,-11397
Net cash provided by operating activites,-,3339179,6778362,6325218
Investments in property plant and equipment,-,-2156339,-3628954,-3954059
Purchases of investments,-,-358993,-614960,-149119
Other investing activites,-,67562,-431606,626356
Net cash used for investing activites,-,-2447770,-4675520,-3476822
Net change in cash,-,-370365,77903,-4209064
Cash at beginning of period,-,8000729,7922826,12131890
Cash at end of period,-,7630364,8000729,7922826
Operating Cash Flow,-,3339179,6778362,6325218
Capital Expenditure,-,-2156339,-3628954,-3954059
Free Cash Flow,-,1182840,3149408,2371159
