Breakdown,ttm,3/31/2019
Total Revenue,65544000,64023000
Selling General and Administrative,39112000,38767000
Total Operating Expenses,54595000,52779000
Interest Expense,1208000,1423000
Income Before Tax,7824000,54011000
Income Tax Expense,1782000,1458000
Income from Continuing Operations,6042000,52553000
Net Income,5471000,52277000
Net Income available to common shareholders,5471000,52277000
Basic Average Shares,-,26090
Diluted Average Shares,-,26090
