Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1497000,1201000,877000,836000
Depreciation & amortization,-,893000,974000,938000
Change in working capital,-,-388000,-233000,111000
Inventory,-,-422000,-430000,157000
Other working capital,-,129000,1232000,1435000
Other non-cash items,-,56000,84000,-15000
Net cash provided by operating activites,-,1468000,1936000,2308000
Investments in property plant and equipment,-,-1339000,-704000,-873000
Acquisitions net,-,-,-,-36000
Purchases of investments,-,-598000,-5000,-71000
Sales/Maturities of investments,-,430000,53000,144000
Other investing activites,-,-3000,-108000,-214000
Net cash used for investing activites,-,-1519000,-772000,-1052000
Net change in cash,-,-950000,615000,369000
Cash at beginning of period,-,5268000,4652000,4283000
Cash at end of period,-,4318000,5268000,4652000
Operating Cash Flow,-,1468000,1936000,2308000
Capital Expenditure,-,-1339000,-704000,-873000
Free Cash Flow,-,129000,1232000,1435000
