Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,66406000,87391000,72289000,58762000
Depreciation & amortization,-,6849000,4389000,6285000
Change in working capital,-,-42575000,-22041000,30202000
Inventory,-,-23683000,-35576000,4375000
Other working capital,-,2961000,27935000,85390000
Other non-cash items,-,5680000,3301000,-15000
Net cash provided by operating activites,-,33064000,56516000,109536000
Investments in property plant and equipment,-,-30103000,-28581000,-24146000
Acquisitions net,-,-1619000,0,-2370000
Purchases of investments,-,-7997000,-8857000,-6907000
Sales/Maturities of investments,-,4331000,6315000,5629000
Other investing activites,-,321000,-739000,-1092000
Net cash used for investing activites,-,-14473000,-16351000,-19824000
Net change in cash,-,6115000,5255000,49341000
Cash at beginning of period,-,206866000,201456000,152115000
Cash at end of period,-,212980000,206866000,201456000
Operating Cash Flow,-,33064000,56516000,109536000
Capital Expenditure,-,-30103000,-28581000,-24146000
Free Cash Flow,-,2961000,27935000,85390000
