Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,41771,104414,104772,63520
Depreciation & amortization,-,9287,3817,2936
Change in working capital,-,37432,136477,-10954
Other working capital,-,154249,274347,32816
Other non-cash items,-,28370,-10548,9566
Net cash provided by operating activites,-,195044,275766,44632
Investments in property plant and equipment,-,-40795,-1419,-11816
Acquisitions net,-,-15300,-,-
Other investing activites,-,-43457,-,100424
Net cash used for investing activites,-,-99552,-1419,88608
Net change in cash,-,639461,274302,136333
Cash at beginning of period,-,711960,437658,301324
Cash at end of period,-,1351421,711960,437658
Operating Cash Flow,-,195044,275766,44632
Capital Expenditure,-,-40795,-1419,-11816
Free Cash Flow,-,154249,274347,32816
