Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-875,-9000,-57542,-56252,-53335
Sales/Maturities of investments,40765,24172,28135,32627,12527
Net cash used for investing activites,39890,15172,-29407,-23625,-40808
Common stock issued,-,-,48893,47573,46569
Common stock repurchased,-,-8473,-3777,-,-
Dividends Paid,-10066,-10380,-8377,-8106,-3274
Other financing activites,-,-,-,-845,-
Net cash used privided by (used for) financing activities,-14219,-18853,36739,38622,43295
Net change in cash,26155,-1899,9097,15775,4699
Cash at beginning of period,32003,31589,22492,6717,2018
Cash at end of period,58158,29690,31589,22492,6717
Free Cash Flow,484,1782,1765,778,2212
