Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,50897,50897,44833,35914,35571
Interest Expense,7857,7857,5949,3374,2870
Income Before Tax,16056,16056,8590,9818,10692
Income Tax Expense,1729,1729,1538,2874,3112
Income from Continuing Operations,14327,14327,7052,6944,7580
Net Income,14327,14327,7052,6944,7580
Net Income available to common shareholders,14327,14327,7052,6944,7580
Basic EPS,-,-,1.42,1.70,1.86
Diluted EPS,-,-,1.40,1.69,1.86
Basic Average Shares,-,-,4982,4088,4081
Diluted Average Shares,-,-,5031,4110,4086
