Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2309402,1984583,1425466,1130703
Depreciation & amortization,-,1162232,1014742,930047
Change in working capital,-,-852875,-373604,-552999
Inventory,-,-1117093,91962,-312323
Other working capital,-,273508,1545539,961096
Other non-cash items,-,60361,346958,248798
Net cash provided by operating activites,-,2367421,2562533,2038193
Investments in property plant and equipment,-,-2093913,-1016994,-1077097
Other investing activites,-,593,959,-1274
Net cash used for investing activites,-,-2093320,-1016035,-1078371
Net change in cash,-,-196480,-335179,923003
Cash at beginning of period,-,2457900,2793079,1870076
Cash at end of period,-,2261419,2457900,2793079
Operating Cash Flow,-,2367421,2562533,2038193
Capital Expenditure,-,-2093913,-1016994,-1077097
Free Cash Flow,-,273508,1545539,961096
