Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-21486,-9694,-770,-32.868
Acquisitions net,-,-,-592,-
Purchases of investments,-,-10713,-5084,-
Other investing activites,-,-4445,-,-
Net cash used for investing activites,-28463,-24852,-6446,-32.868
Debt repayment,-,-200,-,-
Common stock issued,-,-,61620,8000
Common stock repurchased,-,-,-,-907.427
Net cash used privided by (used for) financing activities,-,-,62595,7093
Net change in cash,-34795,-37526,50090,3354
Cash at beginning of period,42139,55843,5753,2399
Cash at end of period,7344,18317,55843,5753
Capital Expenditure,-21486,-9694,-770,-32.868
Free Cash Flow,-29361,-22368,-6829,-3738
