Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-202.757,-1551,-1228
Net cash used for investing activites,-202.757,-1551,-1228
Common stock issued,-,-,3694
Common stock repurchased,-,-,-240.1813
Net cash used privided by (used for) financing activities,-,-,3454
Net change in cash,-40.317,-2502,779.9134
Cash at beginning of period,1231,3273,3649
Cash at end of period,1191,782.086,4429
Capital Expenditure,-202.757,-1551,-1228
Free Cash Flow,-956.621,-2502,-2674
