Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5129494,4686738,3207892,3766483
Depreciation & amortization,-,811020,813776,734467
Change in working capital,-,-34403,-696317,308654
Inventory,-,340639,-43057,59909
Other working capital,-,3360437,-4836402,1330235
Other non-cash items,-,-154810,409596,-198312
Net cash provided by operating activites,-,4719976,3481827,5597230
Investments in property plant and equipment,-,-1359539,-8318229,-4266995
Purchases of investments,-,-312633,-3113249,-8012
Sales/Maturities of investments,-,3000000,-,-
Other investing activites,-,260513,-133836,-143283
Net cash used for investing activites,-,3090739,-11444716,-4404982
Net change in cash,-,3045999,-83815,1202674
Cash at beginning of period,-,6047512,6131327,4928652
Cash at end of period,-,9093511,6047512,6131327
Operating Cash Flow,-,4719976,3481827,5597230
Capital Expenditure,-,-1359539,-8318229,-4266995
Free Cash Flow,-,3360437,-4836402,1330235
